"";"rules";"support";"confidence";"lift"
"1";"{} => {rbdocumenttype_name=ПАСПОРТ РОССИИ}";0.831918505942275;0.831918505942275;1
"2";"{} => {execperson_name=Врач-терапевт}";0.969439728353141;0.969439728353141;1
"3";"{} => {rbspeciality_name=Терапевт}";0.970288624787776;0.970288624787776;1
"4";"{} => {rbeventtypepurpose_name=Дневной стационар}";0.999151103565365;0.999151103565365;1
"5";"{} => {rbmedicalaidkind_name=специализированная медицинская помощь}";0.999151103565365;0.999151103565365;1
"6";"{} => {rbfinance_name=ОМС}";1;1;1
"7";"{client_sex=Male} => {rbdocumenttype_name=ПАСПОРТ РОССИИ}";0.296264855687606;0.82311320754717;0.989415671929149
"8";"{client_sex=Male} => {execperson_name=Врач-терапевт}";0.350594227504244;0.974056603773585;1.00476241615174
"9";"{client_sex=Male} => {rbspeciality_name=Терапевт}";0.350594227504244;0.974056603773585;1.00388335891976
"10";"{client_sex=Male} => {rbeventtypepurpose_name=Дневной стационар}";0.359932088285229;1;1.00084961767205
"11";"{client_sex=Male} => {rbmedicalaidkind_name=специализированная медицинская помощь}";0.359932088285229;1;1.00084961767205
"12";"{client_sex=Male} => {rbfinance_name=ОМС}";0.359932088285229;1;1
"13";"{client_age=18-60} => {rbdocumenttype_name=ПАСПОРТ РОССИИ}";0.33955857385399;0.836820083682008;1.00589189650756
"14";"{client_age=18-60} => {execperson_name=Врач-терапевт}";0.387096774193548;0.95397489539749;0.984047659175344
"15";"{client_age=18-60} => {rbspeciality_name=Терапевт}";0.387096774193548;0.95397489539749;0.983186725090326
"16";"{client_age=18-60} => {rbeventtypepurpose_name=Дневной стационар}";0.405772495755518;1;1.00084961767205
"17";"{client_age=18-60} => {rbmedicalaidkind_name=специализированная медицинская помощь}";0.405772495755518;1;1.00084961767205
"18";"{client_age=18-60} => {rbfinance_name=ОМС}";0.405772495755518;1;1
"19";"{rbmedicalaidtype_name=Стационар дневного пребывания взрослый} => {rbdocumenttype_name=ПАСПОРТ РОССИИ}";0.401528013582343;0.843137254901961;1.01348539415766
